Downloaded at: 2026/09/16 16:15:26

,Setana,Setana,Setana,Setana,Setana,Setana,Imagane,Imagane,Imagane,Imagane,Imagane,Imagane,Esashi,Esashi,Esashi,Esashi,Esashi,Esashi,Okushiri,Okushiri,Okushiri,Okushiri,Okushiri,Okushiri,Uzura,Uzura,Uzura,Uzura,Uzura,Uzura,Yoneoka,Yoneoka,Yoneoka,Yoneoka,Yoneoka,Yoneoka
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/3/12,5.6,8,1,-1.1,8,1,5.2,8,1,-3.6,8,1,6.3,8,1,3.8,8,1,6.6,8,1,3.7,8,1,5.0,8,1,-4.4,8,1,6.4,8,1,1.4,8,1
2022/3/13,5.9,8,1,-1.1,8,1,5.2,8,1,-3.4,8,1,7.5,8,1,0.7,8,1,7.6,8,1,1.9,8,1,5.1,8,1,-5.0,8,1,7.3,8,1,-0.1,8,1
2022/3/14,7.4,8,1,1.5,8,1,8.2,8,1,1.2,8,1,7.4,8,1,2.6,8,1,7.5,8,1,3.0,8,1,6.2,8,1,1.3,8,1,8.6,8,1,1.6,8,1
2022/3/15,4.2,8,1,0.1,8,1,2.8,8,1,-1.0,8,1,5.1,8,1,2.1,8,1,5.7,8,1,0.9,8,1,4.4,8,1,-0.7,8,1,4.2,8,1,0.7,8,1
2022/3/16,5.4,8,1,1.2,8,1,5.2,8,1,-1.3,8,1,6.3,8,1,2.0,8,1,5.6,8,1,3.4,8,1,5.3,8,1,-1.6,8,1,6.6,8,1,1.5,8,1
2022/3/17,4.9,8,1,0.7,8,1,5.4,8,1,-2.1,8,1,5.8,8,1,1.3,8,1,5.6,8,1,1.5,8,1,4.9,8,1,-4.5,8,1,6.5,8,1,0.2,8,1
2022/3/18,2.6,8,1,-1.6,8,1,3.3,8,1,-2.2,8,1,4.9,8,1,0.7,8,1,3.5,8,1,1.2,8,1,4.2,8,1,-4.2,8,1,3.7,8,1,-0.7,8,1
2022/3/19,6.2,8,1,-0.9,8,1,6.2,8,1,-1.0,8,1,6.1,8,1,-0.3,8,1,5.4,8,1,0.8,8,1,4.6,8,1,-1.0,8,1,6.8,8,1,0.1,8,1
2022/3/20,3.7,8,1,-1.6,8,1,4.4,8,1,-2.5,8,1,5.3,8,1,0.7,8,1,4.6,8,1,0.8,8,1,4.5,8,1,-2.4,8,1,4.4,8,1,1.1,8,1
2022/3/21,3.2,8,1,-1.4,8,1,3.0,8,1,-3.5,8,1,3.9,8,1,0.6,8,1,3.5,8,1,-0.1,8,1,3.1,8,1,-2.0,8,1,4.1,8,1,0.5,8,1
2022/3/22,5.6,8,1,2.3,8,1,5.6,8,1,-2.5,8,1,7.0,8,1,2.5,8,1,6.0,8,1,2.6,8,1,5.2,8,1,-3.9,8,1,6.0,8,1,1.6,8,1
2022/3/23,6.6,8,1,-0.4,8,1,6.4,8,1,-3.9,8,1,6.3,8,1,1.9,8,1,7.6,8,1,0.6,8,1,5.4,8,1,-2.9,8,1,5.8,8,1,1.2,8,1
2022/3/24,7.2,8,1,0.7,8,1,7.3,8,1,-0.2,8,1,8.4,8,1,1.2,8,1,8.1,8,1,3.0,8,1,7.1,8,1,-1.0,8,1,8.1,8,1,2.8,8,1
2022/3/25,9.0,8,1,1.3,8,1,8.2,8,1,-0.6,8,1,8.7,8,1,2.0,8,1,8.4,8,1,2.8,8,1,7.8,8,1,-2.1,8,1,7.9,8,1,2.2,8,1
2022/3/26,6.8,8,1,3.5,8,1,6.4,8,1,3.0,8,1,14.4,8,1,3.6,8,1,13.0,8,1,6.9,8,1,12.2,8,1,-0.4,8,1,12.3,8,1,6.2,8,1
2022/3/27,8.3,8,1,4.2,8,1,7.8,8,1,1.8,8,1,11.2,8,1,3.8,8,1,9.1,8,1,4.7,8,1,8.0,8,1,2.0,8,1,8.4,8,1,3.0,8,1
2022/3/28,7.3,8,1,2.3,8,1,6.6,8,1,-1.2,8,1,7.4,8,1,3.0,8,1,6.5,8,1,2.4,8,1,6.4,8,1,-1.6,8,1,7.9,8,1,1.9,8,1
2022/3/29,9.2,8,1,1.2,8,1,9.0,8,1,-2.7,8,1,9.8,8,1,1.5,8,1,10.4,8,1,3.4,8,1,8.6,8,1,-3.0,8,1,8.2,8,1,4.3,8,1
2022/3/30,8.0,8,1,0.7,8,1,8.0,8,1,-2.6,8,1,9.4,8,1,1.5,8,1,8.1,8,1,4.5,8,1,8.0,8,1,-4.3,8,1,7.5,8,1,4.2,8,1
2022/3/31,8.4,8,1,-0.3,8,1,8.5,8,1,-3.0,8,1,9.0,8,1,1.7,8,1,8.0,8,1,3.7,8,1,8.5,8,1,-3.5,8,1,8.6,8,1,0.7,8,1
2022/4/1,4.3,8,1,0.2,8,1,3.9,8,1,-2.4,8,1,5.0,8,1,0.7,8,1,5.0,8,1,1.2,8,1,4.3,8,1,-3.0,8,1,6.3,8,1,0.2,8,1
2022/4/2,8.2,8,1,1.2,8,1,7.7,8,1,-3.1,8,1,8.9,8,1,1.0,8,1,7.1,8,1,1.4,8,1,7.8,8,1,-2.6,8,1,7.8,8,1,2.2,8,1
2022/4/3,9.4,8,1,0.5,8,1,9.4,8,1,-2.2,8,1,9.9,8,1,1.6,8,1,9.6,8,1,4.1,8,1,8.7,8,1,-2.6,8,1,8.5,8,1,4.7,8,1
