Downloaded at: 2026/09/16 14:28:09

,Sakai,Sakai,Sakai,Sakai,Sakai,Sakai,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/7/5,31.3,8,1,23.8,8,1,29.4,8,1,23.9,8,1,30.0,8,1,23.4,8,1
2022/7/6,32.6,8,1,24.5,8,1,30.0,8,1,24.7,8,1,31.0,8,1,24.5,8,1
2022/7/7,33.9,8,1,23.4,8,1,30.3,8,1,25.1,8,1,32.6,8,1,22.4,8,1
2022/7/8,31.2,8,1,24.1,8,1,29.7,8,1,25.2,8,1,30.3,8,1,23.8,8,1
2022/7/9,33.0,8,1,24.2,8,1,31.6,8,1,25.6,8,1,32.2,8,1,24.8,8,1
2022/7/10,31.2,8,1,24.0,8,1,29.6,8,1,24.8,8,1,31.2,8,1,24.2,8,1
2022/7/11,31.9,8,1,25.3,8,1,29.7,8,1,25.4,8,1,32.2,8,1,24.4,8,1
2022/7/12,28.6,8,1,24.0,8,1,28.0,8,1,24.9,8,1,29.0,8,1,24.8,8,1
2022/7/13,31.8,8,1,23.3,8,1,29.3,8,1,24.4,8,1,30.7,8,1,22.1,8,1
2022/7/14,27.8,8,1,24.6,8,1,27.1,8,1,24.5,8,1,27.4,8,1,23.7,8,1
2022/7/15,31.9,8,1,23.9,8,1,30.5,8,1,24.1,8,1,31.7,8,1,23.6,8,1
2022/7/16,27.7,8,1,23.5,8,1,28.0,8,1,24.2,8,1,26.9,8,1,23.2,8,1
2022/7/17,31.7,8,1,23.8,8,1,30.3,8,1,23.8,8,1,30.6,8,1,23.4,8,1
2022/7/18,32.6,8,1,24.4,8,1,31.1,8,1,25.1,8,1,31.6,8,1,24.2,8,1
2022/7/19,30.0,8,1,26.7,8,1,28.2,8,1,25.6,8,1,28.8,8,1,26.3,8,1
2022/7/20,32.6,8,1,24.6,8,1,31.2,8,1,24.8,8,1,31.2,5,1,23.6,5,1
2022/7/21,32.0,8,1,22.2,8,1,29.2,8,1,23.8,8,1,31.2,8,1,22.7,8,1
2022/7/22,31.1,8,1,24.9,8,1,29.7,8,1,25.7,8,1,30.5,8,1,24.7,8,1
2022/7/23,31.5,8,1,23.4,8,1,29.0,8,1,24.6,8,1,29.8,8,1,24.0,8,1
2022/7/24,32.8,8,1,22.7,8,1,29.9,8,1,23.2,8,1,32.0,8,1,20.6,8,1
2022/7/25,34.7,8,1,25.5,8,1,30.8,8,1,26.5,8,1,33.0,8,1,23.9,8,1
2022/7/26,37.0,8,1,25.1,8,1,31.1,8,1,25.5,8,1,34.4,8,1,24.2,8,1
2022/7/27,33.2,8,1,26.8,8,1,30.9,8,1,26.1,8,1,31.4,8,1,25.3,8,1
2022/7/28,34.4,8,1,25.6,8,1,31.0,8,1,25.6,8,1,32.5,8,1,23.8,8,1
2022/7/29,37.7,8,1,25.6,8,1,31.4,8,1,25.7,8,1,32.8,8,1,24.6,8,1
2022/7/30,35.8,8,1,27.1,8,1,31.7,8,1,26.1,8,1,34.4,8,1,24.8,8,1
2022/7/31,35.7,8,1,25.6,8,1,34.8,8,1,25.4,8,1,35.0,8,1,24.1,8,1
2022/8/1,36.6,8,1,25.8,8,1,34.7,8,1,27.5,8,1,34.2,8,1,24.6,8,1
2022/8/2,36.2,8,1,25.5,8,1,31.9,8,1,26.6,8,1,34.5,8,1,26.2,8,1
2022/8/3,36.5,8,1,26.0,8,1,34.5,8,1,25.9,8,1,34.3,8,1,26.0,8,1
2022/8/4,34.9,8,1,27.5,8,1,32.7,8,1,26.5,8,1,33.0,8,1,26.6,8,1
2022/8/5,34.4,8,1,25.9,8,1,31.3,8,1,25.5,8,1,33.0,8,1,24.8,8,1
2022/8/6,34.7,8,1,25.8,8,1,31.8,8,1,26.4,8,1,32.4,8,1,24.8,8,1
2022/8/7,35.1,8,1,26.5,8,1,31.9,8,1,27.1,8,1,33.6,8,1,25.2,8,1
2022/8/8,35.9,8,1,26.8,8,1,33.1,8,1,27.2,8,1,34.6,8,1,25.5,8,1
2022/8/9,36.3,8,1,26.6,8,1,32.5,8,1,28.6,8,1,35.9,8,1,26.7,8,1
2022/8/10,35.9,8,1,26.8,8,1,32.4,8,1,28.2,8,1,35.4,8,1,26.7,8,1
2022/8/11,36.6,8,1,27.5,8,1,34.2,8,1,28.1,8,1,36.7,8,1,25.6,8,1
2022/8/12,33.9,8,1,26.6,8,1,31.0,8,1,27.8,8,1,32.7,8,1,26.1,8,1
