Downloaded at: 2026/09/16 14:04:55

,Tano,Tano,Tano,Tano,Tano,Tano,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Kushima,Kushima,Kushima,Kushima,Kushima,Kushima
Date,Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/4/7,9.6,8,1,24.9,8,1,,0,1,,0,1,8.6,8,1,24.8,8,1,10.8,8,1,25.1,8,1,8.3,8,1,23.3,8,1
2022/4/8,10.0,8,1,21.6,8,1,,0,1,,0,1,7.6,8,1,24.8,8,1,11.2,8,1,21.9,8,1,8.0,8,1,23.5,8,1
2022/4/9,9.4,8,1,24.6,8,1,,0,1,,0,1,7.3,8,1,25.9,8,1,10.3,8,1,22.7,8,1,7.6,8,1,22.9,8,1
2022/4/10,10.7,8,1,25.7,8,1,,0,1,,0,1,9.2,8,1,25.7,8,1,12.0,8,1,23.5,8,1,10.0,8,1,23.8,8,1
2022/4/11,12.4,8,1,18.3,8,1,,0,1,,0,1,13.4,8,1,17.1,8,1,15.3,8,1,19.3,8,1,14.5,8,1,18.9,8,1
2022/4/12,16.9,8,1,24.0,8,1,,0,1,,0,1,16.6,8,1,26.9,8,1,17.8,8,1,23.8,8,1,18.3,8,1,25.1,8,1
2022/4/13,16.9,8,1,23.8,8,1,,0,1,,0,1,18.2,8,1,28.1,8,1,19.1,8,1,24.4,8,1,19.3,8,1,25.9,8,1
2022/4/14,16.7,8,1,20.0,8,1,,0,1,,0,1,17.0,8,1,24.1,8,1,19.1,8,1,23.7,8,1,19.4,8,1,25.9,8,1
2022/4/15,15.9,8,1,23.0,8,1,,0,1,,0,1,15.7,8,1,26.1,8,1,16.5,8,1,23.6,8,1,16.9,8,1,25.6,8,1
2022/4/16,10.1,8,1,19.3,8,1,,0,1,,0,1,10.5,8,1,22.1,8,1,12.8,8,1,20.2,8,1,12.1,8,1,22.1,8,1
2022/4/17,8.6,8,1,21.4,8,1,,0,1,,0,1,9.3,8,1,24.2,8,1,11.0,8,1,21.2,8,1,10.2,8,1,22.9,8,1
2022/4/18,9.1,8,1,20.7,8,1,,0,1,,0,1,9.1,8,1,20.2,8,1,11.0,8,1,19.8,8,1,9.6,8,1,22.3,8,1
2022/4/19,11.6,5,1,19.5,5,1,,0,1,,0,1,12.2,8,1,21.0,8,1,14.1,8,1,20.9,8,1,12.4,8,1,21.9,8,1
2022/4/20,9.3,8,1,22.5,8,1,,0,1,,0,1,8.6,8,1,24.5,8,1,11.7,8,1,21.7,8,1,9.3,8,1,24.4,8,1
2022/4/21,12.9,8,1,17.7,8,1,,0,1,,0,1,12.6,8,1,16.6,8,1,14.8,8,1,18.3,8,1,14.1,8,1,18.2,8,1
2022/4/22,13.6,8,1,26.7,8,1,,0,1,,0,1,14.0,8,1,26.4,8,1,13.6,8,1,25.9,8,1,13.4,8,1,24.8,8,1
2022/4/23,14.5,8,1,19.8,8,1,,0,1,,0,1,14.7,8,1,18.0,8,1,15.6,8,1,19.9,8,1,14.4,8,1,20.9,8,1
2022/4/24,15.1,8,1,19.1,8,1,,0,1,,0,1,14.9,8,1,21.9,8,1,16.0,8,1,22.7,8,1,16.7,8,1,22.7,8,1
2022/4/25,16.5,8,1,23.0,8,1,,0,1,,0,1,16.3,8,1,27.1,8,1,18.2,8,1,22.6,8,1,19.1,8,1,24.7,8,1
2022/4/26,18.5,8,1,28.6,8,1,,0,1,,0,1,19.0,8,1,27.5,8,1,19.7,8,1,27.1,8,1,21.0,8,1,26.5,8,1
2022/4/27,19.3,8,1,24.2,8,1,,0,1,,0,1,20.5,8,1,25.2,8,1,19.9,8,1,24.8,8,1,20.8,8,1,25.3,8,1
2022/4/28,17.1,8,1,24.5,8,1,,0,1,,0,1,18.5,8,1,27.9,8,1,18.8,8,1,24.0,8,1,18.7,8,1,26.4,8,1
2022/4/29,12.2,8,1,24.1,8,1,,0,1,,0,1,12.6,8,1,23.2,8,1,14.9,8,1,25.4,8,1,15.1,8,1,24.0,8,1
2022/4/30,8.1,8,1,18.8,8,1,,0,1,,0,1,9.5,8,1,21.2,8,1,12.1,8,1,19.5,8,1,10.4,8,1,21.2,8,1
2022/5/1,12.9,8,1,22.6,8,1,,0,1,,0,1,13.5,8,1,22.7,8,1,14.7,8,1,21.8,8,1,14.1,8,1,23.9,8,1
2022/5/2,11.0,8,1,22.4,8,1,,0,1,,0,1,11.6,8,1,21.2,8,1,13.4,8,1,21.3,8,1,11.6,8,1,21.2,8,1
2022/5/3,10.9,8,1,20.1,8,1,,0,1,,0,1,10.4,8,1,23.5,8,1,11.9,8,1,21.0,8,1,10.3,8,1,22.8,8,1
2022/5/4,10.4,8,1,24.0,8,1,,0,1,,0,1,9.7,8,1,25.5,8,1,11.8,8,1,23.2,8,1,9.6,8,1,24.2,8,1
2022/5/5,13.5,8,1,22.4,8,1,,0,1,,0,1,14.9,8,1,26.4,8,1,15.3,8,1,24.6,8,1,14.4,8,1,25.1,8,1
2022/5/6,16.7,8,1,19.1,8,1,,0,1,,0,1,16.9,8,1,19.8,8,1,18.5,8,1,20.7,8,1,18.6,8,1,22.0,8,1
2022/5/7,16.6,8,1,25.5,8,1,,0,1,,0,1,16.3,8,1,27.2,8,1,17.8,8,1,24.2,8,1,17.7,8,1,26.4,8,1
2022/5/8,16.2,8,1,23.3,8,1,,0,1,,0,1,15.9,8,1,26.6,8,1,17.3,8,1,24.1,8,1,16.6,8,1,26.1,8,1
2022/5/9,16.4,8,1,22.2,8,1,,0,1,,0,1,17.0,8,1,24.7,8,1,18.5,8,1,23.2,8,1,18.3,8,1,24.1,8,1
2022/5/10,15.3,8,1,18.0,8,1,,0,1,,0,1,16.5,8,1,20.3,8,1,17.9,8,1,20.3,8,1,18.2,8,1,23.1,8,1
2022/5/11,17.9,8,1,20.3,8,1,,0,1,,0,1,18.2,8,1,22.9,8,1,19.5,8,1,21.9,8,1,19.5,8,1,23.8,8,1
2022/5/12,19.0,8,1,20.6,8,1,,0,1,,0,1,19.2,8,1,22.0,8,1,19.8,8,1,21.7,8,1,19.7,8,1,22.5,8,1
2022/5/13,19.3,8,1,21.2,8,1,,0,1,,0,1,19.8,8,1,22.6,8,1,19.9,8,1,22.5,8,1,21.0,8,1,23.0,8,1
2022/5/14,16.8,8,1,24.1,8,1,,0,1,,0,1,16.4,8,1,27.9,8,1,18.3,8,1,24.2,8,1,18.6,8,1,26.5,8,1
2022/5/15,13.8,8,1,20.0,8,1,,0,1,,0,1,14.3,8,1,20.0,8,1,15.1,8,1,21.0,8,1,14.5,8,1,20.4,8,1
2022/5/16,12.2,8,1,19.1,8,1,,0,1,,0,1,11.9,8,1,19.5,8,1,13.6,8,1,19.1,8,1,12.9,8,1,18.9,8,1
2022/5/17,12.8,8,1,23.0,8,1,,0,1,,0,1,14.2,8,1,25.0,8,1,14.1,8,1,22.6,8,1,12.4,8,1,23.4,8,1
2022/5/18,11.6,8,1,24.5,8,1,,0,1,,0,1,10.8,8,1,27.5,8,1,13.6,8,1,24.0,8,1,11.3,8,1,26.1,8,1
2022/5/19,12.3,8,1,25.5,8,1,,0,1,,0,1,10.9,8,1,28.3,8,1,12.6,8,1,24.9,8,1,10.5,5,1,26.1,5,1
2022/5/20,15.1,8,1,20.6,8,1,,0,1,,0,1,15.0,8,1,21.5,8,1,16.3,8,1,22.2,8,1,16.4,8,1,23.1,8,1
